Age;Education;Marital_Status;Income;Children;Mn_Customer;MntWines;MntFruits;MntMeatProducts;MntFishProducts;MntSweetProducts;MntGoldProds;AllSpends
63.0;2;2;58138.0;0;9;6.455198563340122;4.48863636973214;6.304448802421981;5.153291594497779;4.48863636973214;4.48863636973214;7.388946097618437
66.0;2;2;46344.0;2;3;2.4849066497880004;0.6931471805599453;1.9459101490553132;1.0986122886681098;0.6931471805599453;1.9459101490553132;3.332204510175204
55.0;2;3;71613.0;0;8;6.056784013228625;3.912023005428146;4.852030263919617;4.718498871295094;3.091042453358316;3.7612001156935624;6.655440350367647
36.0;2;3;26646.0;1;2;2.4849066497880004;1.6094379124341003;3.044522437723423;2.3978952727983707;1.3862943611198906;1.791759469228055;3.9889840465642745
39.0;4;1;58293.0;1;1;5.159055299214529;3.784189633918261;4.77912349311153;3.8501476017100584;3.332204510175204;2.772588722239781;6.0473721790462776
53.0;3;3;62513.0;1;9;6.255750041753367;3.7612001156935624;4.59511985013459;0.0;3.7612001156935624;2.70805020110221;6.57507584059962
49.0;2;0;55635.0;1;11;5.4638318050256105;4.189654742026425;5.10594547390058;3.9318256327243257;3.912023005428146;3.332204510175204;6.3818160174060985
35.0;4;1;33454.0;1;5;4.343805421853684;2.3978952727983707;4.04305126783455;1.3862943611198906;0.6931471805599453;3.1780538303479458;5.135798437050262
46.0;4;3;30351.0;1;6;2.70805020110221;0.0;3.2188758248682006;1.3862943611198906;1.3862943611198906;1.0986122886681098;3.8501476017100584
70.0;4;3;5648.0;2;3;3.367295829986474;0.0;1.9459101490553132;0.6931471805599453;0.6931471805599453;2.6390573296152584;3.912023005428146
37.0;2;1;51656.0;1;11;1.791759469228055;1.791759469228055;1.9459101490553132;0.0;1.0986122886681098;0.6931471805599453;2.995732273553991
44.0;1;1;7500.0;0;11;1.9459101490553132;2.833213344056216;2.4849066497880004;2.4849066497880004;0.6931471805599453;2.833213344056216;4.127134385045092
61.0;2;0;63033.0;0;11;5.272999558563747;4.127134385045092;6.175867270105761;5.420534999272286;4.727387818712341;3.4339872044851463;7.005789019253503
68.0;3;0;59354.0;2;11;5.455321115357702;1.0986122886681098;3.9889840465642745;1.3862943611198906;1.791759469228055;2.70805020110221;5.739792912179234
33.0;2;1;17323.0;0;10;1.3862943611198906;2.70805020110221;2.8903717578961645;1.9459101490553132;0.6931471805599453;1.791759469228055;3.8501476017100584
74.0;4;2;82800.0;0;11;6.914730892718563;3.1354942159291497;4.7535901911063645;4.0943445622221;4.23410650459726;3.828641396489095;7.182352111885263
40.0;2;1;41850.0;2;12;3.9889840465642745;1.791759469228055;2.995732273553991;1.0986122886681098;2.6390573296152584;1.6094379124341003;4.574710978503383
74.0;2;3;37760.0;0;8;4.442651256490317;1.791759469228055;3.6635616461296463;5.017279836814924;2.5649493574615367;3.367295829986474;5.762051382780177
71.0;3;1;76995.0;1;3;6.920671504248683;4.394449154672439;6.212606095751519;0.0;2.833213344056216;5.176149732573829;7.48605261786314
35.0;0;2;33812.0;1;11;1.6094379124341003;2.8903717578961645;2.995732273553991;3.4339872044851463;3.2188758248682006;3.6888794541139363;4.897839799950911
38.0;2;1;37040.0;0;8;4.465908118654584;1.0986122886681098;4.30406509320417;4.248495242049359;3.6635616461296463;3.8918202981106265;5.75890177387728
71.0;4;1;58607.0;1;12;6.7661917146603505;0.0;4.465908118654584;0.0;0.0;2.995732273553991;6.880384082186005
66.0;4;1;65324.0;1;1;5.953243334287785;0.0;4.634728988229636;3.091042453358316;3.4965075614664802;1.791759469228055;6.300785794663244
69.0;2;3;40689.0;1;3;5.602118820879701;1.3862943611198906;3.332204510175204;3.6888794541139363;1.9459101490553132;4.605170185988092;6.09807428216624
